p225/000/0.TextGrid|Please call Stella.
p225/000/1.TextGrid|Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.
p225/000/2.TextGrid|We also need a small plastic snake and a big toy frog for the kids.
p225/000/3.TextGrid|She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
p225/000/4.TextGrid|When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.
p225/000/5.TextGrid|The rainbow is a division of white light into many beautiful colors.
p225/000/6.TextGrid|These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon.
p225/000/7.TextGrid|People look, but no one ever finds it.
p225/000/8.TextGrid|There is, according to legend, a boiling pot of gold at one end.
p226/000/9.TextGrid|Please call Stella.
p226/000/10.TextGrid|Ask her to bring these things with her from the store.
p226/000/11.TextGrid|Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.
p226/000/12.TextGrid|We also need a small plastic snake and a big toy frog for the kids.
p226/000/13.TextGrid|She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
p226/000/14.TextGrid|When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.
p226/000/15.TextGrid|The rainbow is a division of white light into many beautiful colors.
p226/000/16.TextGrid|These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon.
p226/000/17.TextGrid|There is, according to legend, a boiling pot of gold at one end.
p226/000/18.TextGrid|People look, but no one ever finds it.
p225/000/19.TextGrid|Ask her to bring these things with her from the store.
